Area,Company,Date,VarAll,ValueAll
山东江苏区 JIANG BO,0424青岛农业,2020-03-01,1总产量颗粒料产量,11328.958
山东江苏区 JIANG BO,0405徐州正大,2020-03-01,1总产量颗粒料产量,4018.05
山东江苏区 JIANG BO,0407连云港正大,2020-03-01,1总产量颗粒料产量,11419.69
山东江苏区 JIANG BO,0408南通正大,2020-03-01,1总产量颗粒料产量,17054.255
山东江苏区 JIANG BO,0410泰州正大,2020-03-01,1总产量颗粒料产量,1760.515
山东江苏区 JIANG BO,0412淮阴正大,2020-03-01,1总产量颗粒料产量,19254.173
一条龙 YU JIAN PING,0438青岛农业-城阳,2020-04-01,1总产量颗粒料产量,8712.75
一条龙 YU JIAN PING,1412青岛科德饲料,2020-04-01,1总产量颗粒料产量,5657.04
一条龙 YU JIAN PING,0846湛江饲料,2020-04-01,1总产量颗粒料产量,6363.5
一条龙 YU JIAN PING,0175衡水正大,2020-04-01,1总产量颗粒料产量,1226.0
一条龙 YU JIAN PING,0589湖北正大,2020-04-01,1总产量颗粒料产量,16400.12
北方区 BAI SHAN LIN,0212吉林实业(饲料),2020-04-01,1总产量颗粒料产量,6387.89
北方区 BAI SHAN LIN,0213正大永吉,2020-04-01,1总产量颗粒料产量,8438.64
北方区 BAI SHAN LIN,0203沈阳正大,2020-04-01,1总产量颗粒料产量,8564.85
北方区 BAI SHAN LIN,0204葫芦岛正大,2020-04-01,1总产量颗粒料产量,2428.86
北方区 BAI SHAN LIN,0302山西正大,2020-04-01,1总产量颗粒料产量,6000.726
北方区 BAI SHAN LIN,0303陕西正大,2020-04-01,1总产量颗粒料产量,9823.7
北方区 BAI SHAN LIN,0305内蒙古正大,2020-04-01,1总产量颗粒料产量,22098.43
北方区 BAI SHAN LIN,0323内蒙-五原,2020-04-01,1总产量颗粒料产量,4642.96
北方区 BAI SHAN LIN,0170张家口正大,2020-04-01,1总产量颗粒料产量,2167.391
北方区 BAI SHAN LIN,0301兰州正大,2020-04-01,1总产量颗粒料产量,18059.02
北方区 BAI SHAN LIN,0304乌鲁木齐正大,2020-04-01,1总产量颗粒料产量,15599.9
北方区 BAI SHAN LIN,0306银川正大,2020-04-01,1总产量颗粒料产量,7146.83
北方区 BAI SHAN LIN,0322兰州正大-泾川,2020-04-01,1总产量颗粒料产量,5776.22
北方区 BAI SHAN LIN,3204乌鲁木齐正大-阿克苏,2020-04-01,1总产量颗粒料产量,6095.77
北方区 BAI SHAN LIN,0329兰州正大-张掖分公司,2020-04-01,1总产量颗粒料产量,5212.29
北方区 BAI SHAN LIN,0318渭南正大,2020-04-01,1总产量颗粒料产量,1509.32
中东南区 HUO ER FENG,0403合肥正大,2020-04-01,1总产量颗粒料产量,13554.54
中东南区 HUO ER FENG,0406滁州正大,2020-04-01,1总产量颗粒料产量,4436.19
中东南区 HUO ER FENG,0502开封正大,2020-04-01,1总产量颗粒料产量,8909.8
中东南区 HUO ER FENG,0506驻马店正大,2020-04-01,1总产量颗粒料产量,5696.4
中东南区 HUO ER FENG,0510河南东方,2020-04-01,1总产量颗粒料产量,15459.76
中东南区 HUO ER FENG,0511平顶山正大,2020-04-01,1总产量颗粒料产量,4566.14
中东南区 HUO ER FENG,0560周口正大,2020-04-01,1总产量颗粒料产量,2053.3
中东南区 HUO ER FENG,0518南阳正大,2020-04-01,1总产量颗粒料产量,13061.6
中东南区 HUO ER FENG,0702宁波正大,2020-04-01,1总产量颗粒料产量,11533.32
中东南区 HUO ER FENG,0804福州大福(饲料),2020-04-01,1总产量颗粒料产量,10090.4
中东南区 HUO ER FENG,0805厦门正大(饲料),2020-04-01,1总产量颗粒料产量,4602.32
中东南区 HUO ER FENG,0862海南农牧,2020-04-01,1总产量颗粒料产量,3289.6
中南区 ZHOU YONG SHUN,0504武汉正大(饲料),2020-04-01,1总产量颗粒料产量,19656.1
中南区 ZHOU YONG SHUN,0569武汉水产,2020-04-01,1总产量颗粒料产量,12743.585
中南区 ZHOU YONG SHUN,1513武汉正大仙桃分公司,2020-04-01,1总产量颗粒料产量,4693.16
中南区 ZHOU YONG SHUN,0514襄阳正大,2020-04-01,1总产量颗粒料产量,32336.06
中南区 ZHOU YONG SHUN,1516襄阳正大宜城分公司,2020-04-01,1总产量颗粒料产量,9550.42
中南区 ZHOU YONG SHUN,0505宜昌正大,2020-04-01,1总产量颗粒料产量,20164.98
中南区 ZHOU YONG SHUN,0572潜江正大,2020-04-01,1总产量颗粒料产量,8348.38
中南区 ZHOU YONG SHUN,0507怀化正大,2020-04-01,1总产量颗粒料产量,21639.131
中南区 ZHOU YONG SHUN,0501正大岳阳(饲料),2020-04-01,1总产量颗粒料产量,12522.295
中南区 ZHOU YONG SHUN,0515长沙正大,2020-04-01,1总产量颗粒料产量,0.0
